age,annual_income,credit_score,number_of_dependents,years_employed,vehicle_value,annual_premium,monthly_expenses,savings_amount,loan_amount,number_of_policies,vehicle_ownership_duration,customer_since_years,policy_renewal_count,gender,marital_status,education_level,job_title,region,policy_type,employment_type,payment_frequency,communication_preference,relationship_to_policyholder,health_status,driving_record,home_ownership,risk_appetite,credit_utilization_band,owns_vehicle,has_children,has_previous_claims,is_smoker,is_diabetic,owns_multiple_policies,has_health_insurance,is_student,has_loyalty_discount,attended_defensive_driving,claim_status
70,46607.18,734.0,1,3,18998.7,1857.57,2244.22,21093.62,17061.96,2,0,2,3,Female,Widowed,None,Financial trader,Central,Personal Injury,Salaried,Monthly,Phone,Spouse,Good,Excellent,Renter,High,High,1,1,0,0,0,1,1,1,1,0,0
19,41251.69,690.0,1,25,31486.25,1151.87,1149.18,31359.39,5256.95,3,6,8,0,Male,Divorced,Master,Podiatrist,North,Comprehensive,Salaried,Monthly,Phone,Self,Fair,Excellent,Mortgage,Medium,High,0,0,0,0,0,0,0,1,0,1,0
41,68457.95,642.0,1,38,17540.73,1550.54,2563.66,17805.59,4606.15,2,7,6,0,Female,Widowed,High School,Art therapist,West,Collision,Salaried,Yearly,Phone,Spouse,Poor,Excellent,Owner,Medium,Low,0,1,0,1,1,1,1,1,1,1,0
61,70048.07,690.0,0,16,18466.77,1412.19,1572.78,26063.68,5696.38,1,1,2,1,Male,Divorced,PhD,"Runner, broadcasting/film/video",East,Third Party,Student,Monthly,Email,Spouse,Fair,Good,Owner,Low,Very High,1,1,0,0,1,0,0,1,0,1,0
47,63023.16,596.0,2,2,19120.53,1164.83,2015.93,16813.13,15593.19,2,2,8,2,Male,Married,None,Insurance account manager,Central,Comprehensive,Salaried,Yearly,Email,Other,Good,Very Bad,Renter,Low,Low,1,1,0,0,1,1,0,0,0,1,0
55,48539.31,685.0,2,16,1763.12,826.8,3065.37,4535.28,8617.99,4,18,14,0,Male,Married,High School,Electrical engineer,South,Third Party,Self-Employed,Yearly,Phone,Child,Very Good,Excellent,Mortgage,High,Very High,1,0,0,0,0,1,1,1,1,0,0
19,44025.02,712.0,2,39,26590.93,1184.11,2404.3,17709.14,6993.65,4,15,4,3,Female,Single,Master,Herbalist,South,Collision,Retired,Yearly,Email,Child,Good,Bad,Owner,Medium,High,0,1,0,1,0,1,0,1,1,1,1
77,38516.27,671.0,1,18,26174.22,1469.77,2470.04,9974.44,7913.88,2,5,5,2,Male,Widowed,Master,Patent examiner,North,Third Party,Salaried,Quarterly,SMS,Spouse,Fair,Excellent,Mortgage,Low,Very High,1,1,0,1,0,0,0,1,1,0,0
38,51591.82,715.0,1,38,28144.96,832.55,3434.72,3905.52,12391.72,3,0,12,4,Male,Widowed,,Medical laboratory scientific officer,East,Third Party,Unemployed,Yearly,Phone,Self,Very Good,Average,Mortgage,Medium,Very High,1,0,0,0,0,1,1,1,1,1,0
50,44912.2,720.0,2,17,45058.48,1450.71,695.11,14219.21,6517.33,4,11,10,3,Male,Married,None,"Restaurant manager, fast food",Central,Collision,Student,Yearly,In-person,Other,Very Good,Good,Renter,Medium,Low,1,0,0,0,0,0,0,1,1,1,0
29,34360.35,693.0,0,27,7014.78,1602.87,3399.91,23203.69,7496.31,2,18,6,3,Male,Widowed,Bachelor,Arboriculturist,Central,Collision,Retired,Yearly,Email,Child,Good,Excellent,Renter,Low,Medium,0,1,0,0,0,0,0,0,0,1,0
75,69770.18,768.0,1,14,5119.73,1228.8,2617.99,11594.14,8478.44,3,13,13,2,Male,Single,None,Environmental manager,West,Collision,Self-Employed,Yearly,In-person,Other,Good,Average,Renter,Low,Very High,1,1,0,0,0,0,0,1,1,1,0
39,40214.04,747.0,3,25,27058.67,1474.11,2444.68,34399.58,14587.95,3,16,1,3,Female,Single,Master,Further education lecturer,West,Personal Injury,Self-Employed,Yearly,Phone,Parent,Very Good,Bad,Renter,Medium,High,1,0,0,0,0,1,0,1,0,1,0
78,74758.84,711.0,3,34,16625.11,1242.08,2469.82,24509.06,1705.8,2,3,9,1,Male,Divorced,High School,"Programmer, systems",Central,Collision,Self-Employed,Quarterly,Email,Parent,Good,Average,Mortgage,High,High,1,0,0,0,0,0,0,1,1,1,0
61,65911.08,697.0,3,15,10143.72,1371.41,3011.83,9521.51,10044.37,3,19,9,2,Male,Single,Bachelor,Risk manager,Central,Collision,Student,Monthly,In-person,Self,Good,Very Bad,Mortgage,Low,High,0,1,0,0,0,0,0,0,0,0,0
42,64415.12,667.0,4,14,17174.38,1648.07,3320.76,9217.83,8214.36,3,7,5,2,Female,Single,High School,"Scientist, water quality",Central,Personal Injury,Self-Employed,Monthly,SMS,Other,Good,Average,Renter,Medium,Very High,1,1,0,1,0,0,0,1,1,0,0
66,84979.64,647.0,3,4,13816.56,733.81,2310.87,36447.45,13039.34,4,9,6,0,Female,Single,Master,Mental health nurse,South,Comprehensive,Salaried,Quarterly,Email,Child,Good,Average,Living with Family,Medium,Medium,1,0,0,0,0,1,1,1,1,1,0
44,40712.96,719.0,0,23,37247.77,970.43,2392.66,11637.27,9429.1,3,5,7,4,Female,Single,PhD,Counsellor,South,Personal Injury,Retired,Quarterly,Phone,Spouse,Fair,Bad,Living with Family,Medium,Very High,1,0,0,0,0,0,1,1,1,0,0
76,73106.58,670.0,0,1,42618.12,1575.2,2987.16,18642.2,5410.59,1,3,4,2,Female,Married,Master,Trading standards officer,West,Third Party,Student,Yearly,SMS,Parent,Fair,Very Bad,Renter,Medium,High,1,0,0,1,0,1,1,1,0,1,0
59,55535.36,629.0,4,35,3644.39,1630.54,821.54,19218.0,20746.48,4,14,6,3,Male,Married,Bachelor,Actuary,West,Third Party,Student,Yearly,Phone,Parent,Fair,Very Bad,Living with Family,Medium,Medium,1,0,0,0,0,0,0,1,0,1,0
45,98566.05,639.0,3,30,5234.51,777.62,2421.04,-2238.86,17723.48,4,2,5,3,Female,Widowed,None,TEFL teacher,East,Comprehensive,Self-Employed,Yearly,Email,Self,Very Good,Bad,Living with Family,High,Low,1,1,0,0,0,1,1,1,0,1,0
77,54288.08,646.0,1,29,12406.32,1668.69,2898.47,-2108.61,11229.06,3,4,11,4,Female,Single,None,Fitness centre manager,West,Personal Injury,Retired,Monthly,Phone,Child,Good,Average,Mortgage,Low,High,1,0,0,0,0,1,0,1,0,0,0
33,51865.37,,1,11,13104.72,428.36,2105.35,23563.15,12960.54,2,9,11,0,Male,Married,High School,Call centre manager,North,Comprehensive,Self-Employed,Quarterly,In-person,Self,Very Good,Good,Mortgage,High,High,1,1,0,0,1,1,0,1,1,1,0
32,66383.04,,1,36,12247.4,1387.68,1861.11,4526.37,6275.1,1,11,10,2,Male,Divorced,Master,"Doctor, hospital",North,Third Party,Student,Quarterly,SMS,Child,Fair,Good,Owner,Low,High,1,1,0,0,0,0,0,1,1,1,0
79,56866.37,681.0,3,20,18057.66,1265.64,2378.13,15118.65,11044.12,1,11,8,0,Female,Widowed,None,Herpetologist,West,Personal Injury,Self-Employed,Monthly,SMS,Self,Very Good,Excellent,Renter,Low,Low,1,0,0,0,0,1,0,1,1,1,0
79,48623.06,700.0,3,11,15531.65,980.07,2032.05,-100.54,23276.81,4,2,13,0,Female,Divorced,Master,"Administrator, local government",North,Collision,Salaried,Monthly,In-person,Self,Fair,Excellent,Renter,Medium,Very High,1,0,0,1,1,1,0,1,1,1,0
64,45445.85,706.0,3,39,6463.87,998.54,2303.48,11715.41,16199.78,1,15,11,3,Male,Married,Bachelor,Arts development officer,Central,Collision,Retired,Quarterly,Phone,Child,Good,Excellent,Mortgage,High,Low,1,0,0,0,0,1,0,1,1,0,0
79,81873.07,636.0,2,36,9731.92,1009.59,2122.31,17137.38,4719.88,4,8,12,1,Male,Divorced,High School,Volunteer coordinator,North,Third Party,Retired,Monthly,Phone,Self,Very Good,Good,Mortgage,Low,Low,1,0,1,0,0,0,0,1,1,1,0
68,42548.08,621.0,1,34,35463.39,1138.75,3749.31,-5601.31,12022.22,3,13,10,0,Female,Divorced,PhD,Air cabin crew,North,Personal Injury,Student,Yearly,In-person,Spouse,Excellent,Good,Living with Family,High,Very High,0,1,0,0,1,0,0,1,1,1,0
61,63346.31,732.0,4,21,16425.52,1795.81,1588.38,15540.69,10408.71,4,13,8,2,Male,Widowed,None,Product designer,North,Third Party,Unemployed,Monthly,Email,Self,Fair,Good,Renter,Low,Very High,1,1,1,1,0,0,0,1,0,0,0
72,75842.76,612.0,0,35,15913.69,1446.93,3167.82,16092.4,12603.13,3,7,7,0,Male,Widowed,PhD,Bonds trader,West,Third Party,Salaried,Quarterly,Phone,Other,,Excellent,Owner,Medium,Low,1,0,0,0,0,0,1,1,0,1,0
69,76567.42,679.0,1,7,4795.63,1630.32,2030.22,10314.69,18909.85,4,18,5,3,Male,Widowed,PhD,Financial manager,South,Collision,Self-Employed,Quarterly,SMS,Parent,Good,Average,Living with Family,Medium,Very High,1,0,0,0,0,1,0,1,0,0,0
74,50975.21,643.0,2,26,15367.83,1103.38,2760.65,3995.58,5451.79,4,16,11,0,Male,Widowed,Master,Environmental manager,East,Comprehensive,Student,Quarterly,In-person,Other,,Excellent,Mortgage,Medium,Very High,0,1,1,0,1,0,1,1,0,1,0
20,56907.23,691.0,0,26,29609.02,1269.08,3017.62,11233.95,8990.53,1,4,9,4,Female,Divorced,PhD,Furniture conservator/restorer,Central,Comprehensive,Salaried,Yearly,Phone,Self,Fair,Good,Renter,Low,Medium,1,0,0,0,0,1,1,0,0,1,0
54,53997.1,667.0,1,35,25955.51,878.52,3724.32,11248.19,4381.64,4,15,10,0,Male,Married,None,Research scientist (life sciences),North,Comprehensive,Unemployed,Quarterly,SMS,Other,Fair,Average,Living with Family,Low,Low,0,1,0,0,0,1,0,1,0,1,0
68,36974.72,706.0,1,6,28110.99,1116.47,2814.34,34249.06,11074.14,3,6,3,3,Male,Married,PhD,Newspaper journalist,Central,Comprehensive,Retired,Yearly,Phone,Other,Good,Good,Renter,High,Medium,0,0,0,0,1,0,0,1,0,1,0
24,68062.76,564.0,1,2,7964.03,1034.25,2182.86,13791.67,10538.8,3,11,6,1,Female,Divorced,None,Dramatherapist,North,Collision,Salaried,Quarterly,Phone,Parent,Good,Average,Living with Family,Medium,Low,1,0,0,0,0,1,0,1,0,0,0
38,60577.55,736.0,0,3,7803.82,1346.59,2552.62,10356.63,20415.61,2,1,8,0,Other,Married,,"Nurse, learning disability",Central,Third Party,Student,Monthly,Email,Child,Good,Bad,Renter,High,Very High,1,1,0,0,0,0,0,1,1,1,0
26,81608.78,716.0,1,23,31334.36,987.94,4034.78,13771.56,5743.76,4,7,3,1,Other,Single,Bachelor,"Psychologist, educational",West,Personal Injury,Retired,Yearly,SMS,Parent,Fair,Excellent,Mortgage,Low,High,0,1,0,0,0,0,0,1,1,0,0
56,47651.92,730.0,0,7,28262.74,948.94,2630.76,19236.82,14530.17,1,13,3,4,Other,Widowed,,Optometrist,South,Personal Injury,Unemployed,Yearly,Email,Child,Very Good,Very Bad,Renter,Medium,Very High,1,1,0,0,0,1,0,1,1,1,0
35,76330.45,724.0,2,12,17415.37,1318.91,1453.74,18868.1,-3105.15,1,17,11,1,Female,Single,Master,Environmental health practitioner,South,Comprehensive,Retired,Yearly,Email,Parent,Good,Bad,Living with Family,High,Low,0,1,0,0,1,0,0,1,0,1,0
21,77388.51,695.0,0,8,28530.4,1183.94,2193.37,19498.18,19664.7,4,9,0,0,Female,Divorced,High School,Ergonomist,Central,Comprehensive,Student,Monthly,In-person,Self,Good,Excellent,Owner,Medium,High,1,1,0,0,1,0,0,1,0,1,0
42,60706.08,647.0,0,19,7970.04,989.84,2172.76,21030.47,10144.55,3,15,4,0,Female,Married,High School,Product designer,Central,Personal Injury,Retired,Quarterly,SMS,Spouse,Good,Very Bad,Mortgage,High,Medium,1,0,1,0,0,1,0,1,1,0,0
77,27437.08,701.0,2,19,7555.32,946.01,3083.97,397.41,10696.45,2,9,3,0,Male,Single,None,Optometrist,South,Third Party,Salaried,Monthly,SMS,Spouse,Excellent,Very Bad,Living with Family,Medium,High,0,0,0,0,0,0,0,1,1,1,1
31,52311.49,694.0,1,4,3825.39,989.74,1522.41,20164.83,8886.22,3,13,12,2,Female,Widowed,Bachelor,Surgeon,South,Third Party,Salaried,Monthly,Email,Parent,Good,Average,Mortgage,Low,Medium,1,0,0,0,0,0,0,0,0,0,0
67,86788.07,723.0,1,4,23614.7,1444.38,2093.78,16841.4,12367.7,1,19,2,3,Male,Married,Master,Marine scientist,West,Collision,Unemployed,Yearly,Email,Other,Good,Excellent,Mortgage,Medium,Very High,1,0,0,0,0,0,0,1,1,1,0
75,64455.84,711.0,2,34,22167.18,1325.26,2670.82,8769.21,7026.71,2,5,1,0,Female,Single,None,"Development worker, international aid",East,Collision,Self-Employed,Monthly,Phone,Spouse,Good,Very Bad,Mortgage,Low,Low,0,1,0,0,0,1,1,1,0,0,1
26,70401.0,684.0,1,0,14775.83,973.45,2275.66,16064.32,10719.42,3,9,8,1,Female,Married,None,Charity fundraiser,South,Personal Injury,Student,Yearly,Email,Parent,Excellent,Good,Owner,Low,High,1,1,0,0,0,0,0,1,0,1,0
43,58662.5,701.0,0,14,12196.07,985.38,2572.74,13900.62,16742.82,3,11,7,1,Female,Single,PhD,"Journalist, broadcasting",West,Comprehensive,Unemployed,Monthly,Email,Self,Fair,Excellent,Renter,Medium,Very High,0,0,1,0,0,1,0,1,1,0,0
70,56648.36,706.0,3,16,44145.49,855.8,2618.07,14791.89,8049.77,1,17,8,4,Male,Married,PhD,IT consultant,South,Collision,Unemployed,Quarterly,SMS,Child,Very Good,Average,Mortgage,High,Medium,1,0,1,0,0,1,0,1,0,1,0
19,31989.83,734.0,2,11,17408.69,1082.02,2671.59,16743.47,8483.5,3,3,1,1,Male,Married,High School,Professor Emeritus,North,Comprehensive,Salaried,Quarterly,In-person,Spouse,Very Good,Bad,Living with Family,Low,High,0,1,1,0,0,1,0,1,1,1,0
37,71921.09,766.0,1,35,33880.67,1236.89,1758.43,-1782.8,8595.47,2,2,8,1,Female,Single,PhD,Barrister's clerk,East,Collision,Self-Employed,Yearly,Email,Self,Good,Excellent,Mortgage,Low,Low,1,1,0,0,1,0,1,1,1,0,0
45,76195.22,709.0,3,14,18536.52,936.32,3138.07,17631.0,14789.84,2,11,0,1,Male,Single,Master,Petroleum engineer,North,Comprehensive,Salaried,Yearly,Email,Parent,Very Good,Bad,Owner,Medium,Very High,0,0,0,0,0,0,1,1,0,1,0
64,45737.07,706.0,4,13,14992.87,1856.19,2071.77,21504.15,9241.03,1,5,2,2,Male,Divorced,Master,,South,Collision,Retired,Yearly,In-person,Other,Good,Average,Living with Family,Low,Low,0,0,0,0,0,1,0,1,0,0,0
77,57317.17,668.0,3,26,34166.6,1387.13,2490.73,17437.85,7773.16,4,5,13,0,Male,Married,None,Special educational needs teacher,North,Comprehensive,Salaried,Quarterly,Phone,Parent,Fair,Average,Mortgage,Low,Medium,1,1,0,0,0,1,0,0,1,1,0
24,55293.88,662.0,2,21,27899.64,1190.35,1530.49,7749.14,10896.99,1,4,9,4,Female,Single,PhD,Cabin crew,South,Collision,Salaried,Yearly,In-person,Parent,Good,Very Bad,Living with Family,High,Low,0,0,0,0,0,1,0,1,0,1,1
61,66302.3,643.0,2,8,19758.91,1225.52,2531.92,6368.23,15315.56,1,19,12,3,Female,Divorced,None,Osteopath,East,Third Party,Unemployed,Yearly,In-person,Self,Fair,Average,Renter,Low,Medium,1,1,0,0,0,0,0,1,1,1,0
78,51834.55,520.0,4,20,31337.14,782.58,2652.14,16822.0,3481.46,3,18,1,2,Female,Married,Master,Clinical psychologist,North,Third Party,Student,Yearly,Phone,Parent,Very Good,Average,Mortgage,Low,High,1,0,0,1,0,1,0,1,0,1,0
25,73970.11,638.0,3,2,45203.07,840.29,2528.98,23030.76,13739.28,1,8,13,4,Male,Single,PhD,,South,Personal Injury,Self-Employed,Yearly,SMS,Parent,Good,Average,Living with Family,Medium,Low,0,1,0,0,0,0,0,1,0,1,0
64,61069.86,671.0,2,30,12676.47,1596.87,1875.75,28086.46,11763.97,3,4,6,3,Male,Single,Bachelor,Office manager,North,Personal Injury,Retired,Quarterly,Phone,Parent,Very Good,Bad,Living with Family,Medium,Very High,1,1,0,0,0,0,0,1,1,0,0
52,21758.65,664.0,4,12,24717.37,1690.53,3402.35,22648.08,11983.34,3,3,2,3,Female,Divorced,,"Engineer, petroleum",West,Collision,Retired,Monthly,In-person,Other,Fair,Good,Living with Family,Low,Medium,1,0,0,0,0,0,0,1,0,0,0
31,66640.8,702.0,1,1,15907.9,535.38,2966.75,20117.01,10094.13,2,1,11,4,Female,Divorced,High School,Broadcast engineer,East,Comprehensive,Student,Quarterly,Email,Other,Very Good,Good,Mortgage,Medium,High,1,0,0,0,0,0,1,1,1,1,0
34,74945.26,639.0,2,13,10654.59,1341.12,2388.88,-10425.8,10157.3,4,5,7,4,Male,Married,PhD,"Embryologist, clinical",West,Personal Injury,Retired,Quarterly,Email,Other,Good,Very Bad,Owner,High,Low,0,1,0,1,0,0,0,1,1,1,0
53,42719.08,641.0,0,6,10377.33,1614.49,2381.54,8863.66,13519.83,1,14,14,0,Male,Married,PhD,"Geneticist, molecular",South,Collision,Student,Quarterly,Email,Spouse,Good,Bad,Owner,Medium,High,1,1,0,0,0,1,0,1,1,0,0
67,66130.9,574.0,1,28,35923.33,1097.48,1909.48,18129.05,2252.12,4,14,6,3,Male,Divorced,None,"Engineer, maintenance",West,Third Party,Student,Yearly,In-person,Self,Good,Average,Living with Family,Medium,Medium,1,0,0,0,0,1,0,1,1,1,0
57,87449.4,703.0,0,3,1752.39,1655.8,2001.74,8199.79,5958.65,4,1,14,0,Male,Widowed,Bachelor,Personnel officer,Central,Personal Injury,Unemployed,Quarterly,In-person,Child,Fair,Very Bad,Mortgage,Low,High,1,1,0,1,0,0,0,1,1,1,0
21,61681.0,635.0,1,3,25078.59,1430.2,3665.48,5698.56,1558.74,2,15,6,0,Male,Single,Bachelor,Merchant navy officer,East,Third Party,Retired,Yearly,SMS,Parent,Very Good,Good,Living with Family,High,Low,1,0,0,0,1,1,1,1,0,1,0
19,77124.43,644.0,3,23,11747.57,1335.27,2213.34,4376.17,19059.16,4,4,7,3,Male,Divorced,None,Counselling psychologist,West,Collision,Salaried,Monthly,In-person,Self,,Very Bad,Renter,High,High,1,1,0,0,0,0,0,1,1,0,0
79,53367.68,708.0,3,20,37724.95,1126.6,4711.13,32648.35,16296.92,1,13,7,3,Female,Widowed,PhD,"Merchandiser, retail",East,Collision,Unemployed,Yearly,Phone,Self,Poor,Good,Living with Family,Medium,Medium,0,0,0,0,1,1,0,1,0,0,0
23,59730.54,635.0,2,27,17269.23,1227.63,1572.28,2000.28,-859.79,3,3,3,4,Male,Married,High School,Production engineer,North,Third Party,Student,Quarterly,Email,Spouse,Good,Good,Owner,Medium,Medium,1,1,1,1,1,1,0,1,1,1,0
71,56930.68,699.0,0,37,16359.92,1065.78,2795.02,12877.1,11810.0,2,14,2,2,Female,Single,PhD,Research scientist (life sciences),South,Collision,Self-Employed,Monthly,In-person,Spouse,Fair,Excellent,Owner,High,Very High,0,0,1,0,0,0,1,1,1,1,0
59,54193.19,619.0,2,7,35695.09,1288.94,2680.97,7720.89,8903.46,1,16,10,4,Male,Widowed,Bachelor,"Psychologist, clinical",South,Collision,Salaried,Quarterly,In-person,Other,,Excellent,Mortgage,Low,Low,0,1,0,1,1,0,1,1,1,1,0
21,57784.17,678.0,1,16,28768.0,1275.84,2529.0,6362.04,12971.94,1,6,10,4,Male,Widowed,Bachelor,Politician's assistant,South,Comprehensive,Unemployed,Yearly,SMS,Self,Good,Very Bad,Mortgage,Medium,Very High,1,1,0,0,0,1,0,1,0,1,0
71,35539.77,649.0,0,8,25542.27,1069.71,1226.34,19114.33,11672.65,2,9,5,3,Female,Single,PhD,Orthoptist,West,Third Party,Salaried,Quarterly,Email,Parent,Good,Good,Living with Family,Medium,High,1,1,1,1,0,1,0,1,0,0,1
46,55036.8,666.0,2,19,28058.12,615.89,1403.02,23229.79,9288.72,3,12,10,3,Female,Widowed,Bachelor,"Restaurant manager, fast food",East,Personal Injury,Student,Quarterly,Email,Other,Very Good,Good,Mortgage,Low,Medium,0,0,0,0,0,0,0,1,0,1,1
35,80067.1,755.0,2,4,9167.26,1141.5,2656.46,3231.0,9693.07,2,15,12,0,Female,Widowed,Master,Diplomatic Services operational officer,West,Personal Injury,Self-Employed,Quarterly,Email,Other,Fair,Bad,Owner,High,High,1,1,0,0,1,0,0,1,1,0,0
43,45544.65,598.0,1,34,27417.13,894.64,1680.75,15525.13,15088.44,2,0,1,0,Male,Married,Bachelor,Fashion designer,West,Collision,Salaried,Yearly,In-person,Spouse,Fair,Very Bad,Renter,Low,Medium,1,1,0,1,0,0,0,1,0,1,0
61,44008.0,751.0,1,28,18009.46,863.74,3467.24,13864.09,7025.34,1,5,14,3,Female,Divorced,High School,Communications engineer,East,Comprehensive,Student,Monthly,In-person,Parent,Good,Very Bad,Owner,High,High,1,1,0,0,1,1,0,1,1,1,0
51,60918.19,634.0,2,11,23609.25,993.0,2320.82,10478.2,8078.76,4,8,13,2,Female,Single,High School,Social researcher,North,Third Party,Student,Yearly,Email,Child,Good,Bad,Mortgage,Medium,Low,1,1,0,0,0,0,0,1,1,0,0
27,61667.75,723.0,1,31,24845.53,1448.06,2704.01,5662.99,13236.02,2,14,3,0,Other,Married,Bachelor,"Therapist, sports",West,Third Party,Retired,Yearly,In-person,Child,Fair,Very Bad,Living with Family,Medium,High,1,0,0,0,0,0,1,1,0,1,0
